#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
306,5/22/2023 18:00,54.669,12.59388889,1,Thorndyke,Ground Bag,Low
307,5/22/2023 18:15,53.798,12.11,1,Thorndyke,Ground Bag,Low
308,5/22/2023 18:30,53.623,12.01277778,1,Thorndyke,Ground Bag,Low
309,5/22/2023 18:45,53.449,11.91611111,0,Thorndyke,Ground Bag,Low
310,5/22/2023 19:00,53.973,12.20722222,0,Thorndyke,Ground Bag,Low
311,5/22/2023 19:15,54.322,12.40111111,0,Thorndyke,Ground Bag,Low
312,5/22/2023 19:30,54.495,12.49722222,0,Thorndyke,Ground Bag,Low
313,5/22/2023 19:45,54.322,12.40111111,0,Thorndyke,Ground Bag,Low
314,5/22/2023 20:00,54.322,12.40111111,0,Thorndyke,Ground Bag,Low
315,5/22/2023 20:15,54.147,12.30388889,0,Thorndyke,Ground Bag,Low
316,5/22/2023 20:30,53.798,12.11,0,Thorndyke,Ground Bag,Low
317,5/22/2023 20:45,52.925,11.625,0,Thorndyke,Ground Bag,Low
318,5/22/2023 21:00,52.225,11.23611111,0,Thorndyke,Ground Bag,Low
319,5/22/2023 21:15,51.523,10.84611111,0,Thorndyke,Ground Bag,Low
320,5/22/2023 21:30,51.346,10.74777778,0,Thorndyke,Ground Bag,Low
321,5/22/2023 21:45,50.995,10.55277778,0,Thorndyke,Ground Bag,Low
322,5/22/2023 22:00,50.995,10.55277778,0,Thorndyke,Ground Bag,Low
323,5/22/2023 22:15,50.643,10.35722222,0,Thorndyke,Ground Bag,Low
324,5/22/2023 22:30,50.466,10.25888889,0,Thorndyke,Ground Bag,Low
325,5/22/2023 22:45,50.29,10.16111111,0,Thorndyke,Ground Bag,Low
326,5/22/2023 23:00,50.466,10.25888889,0,Thorndyke,Ground Bag,Low
327,5/22/2023 23:15,50.643,10.35722222,0,Thorndyke,Ground Bag,Low
328,5/22/2023 23:30,50.819,10.455,0,Thorndyke,Ground Bag,Low
